view_name,column_name,ordinal_position,data_type
Sales_v_Customer_Order_v_Customer_Order_Line,"__ERROR__: ('42S02', '[42S02] [DataDirect][ODBC OpenAccess SDK driver][OpenAccess SDK SQL Engine]Base table:Sales_v_Customer_Order_v_Customer_Order_Line not found.[10129] (10129) (SQLExecDirectW)')",,
Sales_v_PO,PCN,1,int
Sales_v_PO,PO_Key,2,int
Sales_v_PO,Customer_No,3,int
Sales_v_PO,PO_No,4,str
Sales_v_PO,Terms,5,str
Sales_v_PO,Expiration_Date,6,datetime
Sales_v_PO,FOB,7,str
Sales_v_PO,PO_Type_Key,8,int
Sales_v_PO,Note,9,str
Sales_v_PO,Add_By,10,int
Sales_v_PO,Add_Date,11,datetime
Sales_v_PO,Contact_No,12,int
Sales_v_PO,Contact_Note,13,str
Sales_v_PO,Shipping_Instructions,14,str
Sales_v_PO,PO_Status_Key,15,int
Sales_v_PO,PO_Category_Key,16,int
Sales_v_PO,PO_Date,17,datetime
Sales_v_PO,Multiple_Docks_Per_Shipper,18,int
Sales_v_PO,Multiple_PO_Per_Shipper,19,int
Sales_v_PO,Freight_Terms_Key,20,int
Sales_v_PO,Carrier,21,int
Sales_v_PO,Shipper_Note,22,str
Sales_v_PO,Certs,23,int
Sales_v_PO,Master_Price,24,int
Sales_v_PO,Customer_Address_No,25,int
Sales_v_PO,Buyer_No,26,int
Sales_v_PO,Engineer_No,27,int
Sales_v_PO,Bill_Code_Key,28,int
Sales_v_PO,Carrier_Text,29,str
Sales_v_PO,Sales_Address,30,int
Sales_v_PO,Inside_Sales,31,int
Sales_v_PO,Outside_Sales,32,int
Sales_v_PO,Commission,33,float
Sales_v_PO,Source_Inspection_Key,34,int
Sales_v_PO,Printed_Note,35,str
Sales_v_PO,Customer_Change_Order,36,str
Sales_v_PO,Order_No,37,str
Sales_v_PO,Update_By,38,int
Sales_v_PO,Update_Date,39,datetime
Sales_v_PO,ITAR_Order,40,int
Sales_v_PO,PO_Review_Note,41,str
Sales_v_PO,Location_Key,42,int
Sales_v_PO,FOB_Key,43,int
Sales_v_PO,Building_Key,44,int
Sales_v_PO,Customer_Release_No,45,str
Sales_v_PO,Ultimate_Destination,46,str
Sales_v_PO,End_User,47,str
Sales_v_PO,Ship_To_PO_No,48,str
Sales_v_PO,Packaging_Note,49,str
Sales_v_PO,Invoice_Internal_Note,50,str
Sales_v_PO,Invoice_Printed_Note,51,str
Sales_v_PO,Accounting_Job_Key,52,int
Sales_v_PO,Commissionable,53,int
Sales_v_PO,Signature_Required,54,int
Sales_v_PO,Freight_Bill_To_Address_No,55,int
Sales_v_PO,Region_Key,56,int
Sales_v_PO,Third_Party_Ship_To,57,int
Sales_v_PO,Bracket_Pricing,58,int
Sales_v_PO,Purchaser_Address_No,59,int
Sales_v_PO,Invoicing_Hold,60,int
Sales_v_PO,Cust_Prog_Key,61,int
Sales_v_PO,Program_Key,62,int
Sales_v_PO,Market_Key,63,int
Sales_v_PO,PO_No_Revision,64,str
Sales_v_PO,PO_No_Revision_Date,65,datetime
Sales_v_PO,Shipper_Email,66,str
Sales_v_PO,Ship_Complete_Order,67,int
Sales_v_PO,From_PO_Key,68,int
Sales_v_PO,Source_Module_Key,69,int
Sales_v_PO,Multi_Entity_Default_Child_PCN,70,int
Sales_v_PO,Resource_ID,71,str
Sales_v_PO_Line,PCN,1,int
Sales_v_PO_Line,PO_Line_Key,2,int
Sales_v_PO_Line,PO_Key,3,int
Sales_v_PO_Line,Part_Key,4,int
Sales_v_PO_Line,Note,5,str
Sales_v_PO_Line,Standard_Pack_Quantity,6,float
Sales_v_PO_Line,Minimum_Ship_Quantity,7,float
Sales_v_PO_Line,Quantity_Plus,8,float
Sales_v_PO_Line,Quantity_Minus,9,float
Sales_v_PO_Line,Shipping_Instructions,10,str
Sales_v_PO_Line,Documentation_Key,11,int
Sales_v_PO_Line,Export,12,int
Sales_v_PO_Line,Export_By,13,int
Sales_v_PO_Line,Export_Date,14,datetime
Sales_v_PO_Line,Transportation_Adjustment,15,int
Sales_v_PO_Line,Customer_Part_Key,16,int
Sales_v_PO_Line,Container_Type,17,str
Sales_v_PO_Line,Line_No,18,str
Sales_v_PO_Line,New_Shipper_Per_Schedule,19,int
Sales_v_PO_Line,Add_By,20,int
Sales_v_PO_Line,Add_Date,21,datetime
Sales_v_PO_Line,Update_By,22,int
Sales_v_PO_Line,Update_Date,23,datetime
Sales_v_PO_Line,Master_Unit_Type_Key,24,int
Sales_v_PO_Line,Active,25,int
Sales_v_PO_Line,Conversion,26,float
Sales_v_PO_Line,ITAR_License_No,27,str
Sales_v_PO_Line,Supplemental_Order_No,28,str
Sales_v_PO_Line,Default_SCAC_Code,29,str
Sales_v_PO_Line,Ship_To_PO_No,30,str
Sales_v_PO_Line,Spot_Buy_Quantity,31,int
Sales_v_PO_Line,Packaging_Note,32,str
Sales_v_PO_Line,Show_Components,33,int
Sales_v_PO_Line,Finished_Part_Key,34,int
Sales_v_PO_Line,Build_Key,35,int
Sales_v_PO_Line,Contact_No,36,int
Sales_v_PO_Line,New_Shipper_Per_Release_No,37,int
Sales_v_PO_Line,Accounting_Job_Key,38,int
Sales_v_PO_Line,Ordered_By_Contact_No,39,int
Sales_v_PO_Line,Weight_Conversion,40,float
Sales_v_PO_Line,Price_Conversion,41,float
Sales_v_PO_Line,Line_Item_Key,42,int
Sales_v_PO_Line,Force_Standard_Pack_Quantity,43,int
Sales_v_PO_Line,Project_Type_Key,44,int
Sales_v_PO_Line,Cust_Prog_Key,45,int
Sales_v_PO_Line,Program_Key,46,int
Sales_v_PO_Line,Market_Key,47,int
Sales_v_PO_Line,Containers_Per_Master_Unit,48,int
Sales_v_PO_Line,Mill_Supplier_No,49,int
Sales_v_PO_Line,Default_Order_Unit_Key,50,int
Sales_v_PO_Line,Part_Certification_Required,51,int
Sales_v_PO_Line,Mailbox_Key,52,int
Sales_v_PO_Line,Multi_Entity_Default_Child_PCN,53,int
Sales_v_PO_Line,Resource_ID,54,str
Sales_v_PO_Line,EUN_Required,55,int
Sales_v_PO_Status,PCN,1,int
Sales_v_PO_Status,PO_Status_Key,2,int
Sales_v_PO_Status,PO_Status,3,str
Sales_v_PO_Status,Active,4,int
Sales_v_PO_Status,Open_Status,5,int
Sales_v_PO_Status,Completed_Status,6,int
Sales_v_PO_Status,Sort_Order,7,int
Sales_v_PO_Status,Is_Quote,8,int
Sales_v_PO_Status,Method_of_Change,9,str
Sales_v_PO_Status,Create_Jobs,10,int
Sales_v_PO_Status,CONV_Order_Status_Key,11,int
Sales_v_PO_Status,Cancelled_Status,12,int
Sales_v_PO_Status,Include_In_Forecast,13,int
Sales_v_PO_Status,Hold,14,int
Sales_v_PO_Status,Create_Job_Status,15,int
Sales_v_PO_Status,Create_Jobs_Immediately,16,int
Sales_v_PO_Status,Include_In_MRP,17,int
Sales_v_PO_Status,Include_In_PRP,18,int
Sales_v_PO_Status,Credit_Check,19,int
Sales_v_PO_Status,Credit_Hold,20,int
Sales_v_PO_Status,Credit_Committed,21,int
Sales_v_PO_Status,Credit_Released,22,int
Sales_v_PO_Status,Create_POs,23,int
Sales_v_PO_Status,Permission_Key,24,int
Sales_v_PO_Status,Show_On_Packaging_Screen,25,int
Sales_v_PO_Status,Shipment_Hold,26,int
Sales_v_PO_Status,EDI_Hold,27,int
Sales_v_PO_Status,Manual_Closed,28,int
Sales_v_PO_Status,Multi_Entity_Sent,29,int
Sales_v_PO_Status,Allocated,30,int
Sales_v_PO_Status,Allocation_Pending,31,int
Sales_v_PO_Status,Picklist_Printed,32,int
Sales_v_PO_Status,Partially_Allocated,33,int
Sales_v_PO_Type,PCN,1,int
Sales_v_PO_Type,PO_Type_Key,2,int
Sales_v_PO_Type,PO_Type,3,str
Sales_v_PO_Type,Auto_Close,4,int
Sales_v_PO_Type,Color,5,str
Sales_v_PO_Type,CONV_Order_Type,6,int
Sales_v_PO_Type,Credit_Account_No,7,str
Sales_v_PO_Type,Debit_Account_No,8,str
Sales_v_PO_Type,AR_Account_No,9,str
Sales_v_PO_Type,Revenue_Account_No,10,str
Sales_v_PO_Type,Job_Type_Key,11,int
Sales_v_PO_Type,Spot_Buy,12,int
Sales_v_PO_Type,COGS_Account_No,13,str
Sales_v_PO_Type,Line_Sequence,14,int
Sales_v_PO_Type,Freight_Account_Key,15,int
Sales_v_PO_Type,Warehouse,16,int
Sales_v_PO_Type,AR_Invoice_Status_Default,17,str
Sales_v_PO_Type,Due_Date_Per_Line,18,int
Sales_v_PO_Type,Blanket,19,int
Sales_v_PO_Type,Ecommerce,20,int
Sales_v_PO_Type,Sort_Order,21,int
Sales_v_PO_Type,Prepayment_Account_Key,22,int
Sales_v_PO_Type,EDI_Code,23,str
Sales_v_PO_Type,Partial_Shipments_Allow,24,int
Sales_v_PO_Type,Return_Material_Authorization_Required,25,int
Sales_v_PO_Type,Accounting_Job_Required,26,int
Sales_v_PO_Type,Default_Type,27,int
Sales_v_PO_Type,Selling_Price_Exclude,28,int
Sales_v_PO_Type,Bulk_Pick_List,29,int
Sales_v_PO_Type,Automatically_Allocate,30,int
Sales_v_PO_Type,Label_PO_Type,31,str
Sales_v_PO_Type,Forecast,32,int
Sales_v_PO_Type,Inco_Terms_Required,33,int
Sales_v_PO_Type,Named_Place_Required,34,int
Sales_v_PO_Type,JIT_EDI,35,int
Sales_v_PO_Type,Self_Billing,36,int
Sales_v_PO_No,"__ERROR__: ('42S02', '[42S02] [DataDirect][ODBC OpenAccess SDK driver][OpenAccess SDK SQL Engine]Base table:Sales_v_PO_No not found.[10129] (10129) (SQLExecDirectW)')",,
Sales_v_Quote_Order,PCN,1,int
Sales_v_Quote_Order,Quote_Key,2,int
Sales_v_Quote_Order,PO_Key,3,int
Sales_v_Order_Salesperson,PCN,1,int
Sales_v_Order_Salesperson,PO_Key,2,int
Sales_v_Order_Salesperson,Plexus_User_No,3,int
Sales_v_Order_Salesperson,Commission,4,float
Sales_v_Order_Salesperson,Sort_Order,5,int
Sales_v_Order_Salesperson,Update_By,6,int
Sales_v_Customer_Price,PCN,1,int
Sales_v_Customer_Price,Customer_Price_Key,2,int
Sales_v_Customer_Price,Customer_No,3,int
Sales_v_Customer_Price,Price,4,float
Sales_v_Customer_Price,Minimum,5,float
Sales_v_Customer_Price,Schedule_Adjustment,6,int
Sales_v_Customer_Price,Effective_Date,7,datetime
Sales_v_Customer_Price,Expiration_Date,8,datetime
Sales_v_Customer_Price,Note,9,str
Sales_v_Customer_Price,Updated_By,10,int
Sales_v_Customer_Price,Update_Date,11,datetime
Sales_v_Customer_Price,Price_2,12,float
Sales_v_Customer_Price,Price_Unit,13,str
Sales_v_Customer_Price,Price_2_Unit,14,str
Sales_v_Customer_Price,Price_3,15,float
Sales_v_Customer_Price,Price_3_Unit,16,str
Sales_v__e,"__ERROR__: ('42S02', '[42S02] [DataDirect][ODBC OpenAccess SDK driver][OpenAccess SDK SQL Engine]Base table:Sales_v__e not found.[10129] (10129) (SQLExecDirectW)')",,
Sales_v_Accum_Adjustment,PCN,1,int
Sales_v_Accum_Adjustment,Adjustment_Key,2,int
Sales_v_Accum_Adjustment,PO_Line_Key,3,int
Sales_v_Accum_Adjustment,Adjustment_Date,4,datetime
Sales_v_Accum_Adjustment,Quantity_DEC,5,float
Sales_v_Accum_Adjustment,Quantity,6,int
Sales_v_Accum_Adjustment,Note,7,str
Sales_v_Accum_Adjustment,Ship_To,8,int
Sales_v_Accum_Adjustment,Add_Date,9,datetime
Sales_v_Accum_Adjustment,Add_By,10,int
Sales_v_Approval_Role,PCN,1,int
Sales_v_Approval_Role,Role_Key,2,int
Sales_v_Assembly_Plant,PCN,1,int
Sales_v_Assembly_Plant,Assembly_Plant_Key,2,int
Sales_v_Assembly_Plant,Name,3,str
Sales_v_Assembly_Plant,City,4,str
Sales_v_Assembly_Plant,State,5,str
Sales_v_Assembly_Plant,Country,6,str
Sales_v_Assembly_Plant,Region,7,str
Sales_v_Assembly_Plant,IRN_PlantKey,8,int
Sales_v_Attribute,PCN,1,int
Sales_v_Attribute,Attribute_Key,2,int
Sales_v_Attribute,Attribute,3,str
Sales_v_Attribute,Engine,4,int
Sales_v_Attribute,Vehicle,5,int
Sales_v_Attribute,Transmission,6,int
Sales_v_Attribute,Column_Name,7,str
Sales_v_Attribute,Sort_Order,8,int
Sales_v_Attribute,Picker_Show,9,int
Sales_v_Attribute,Acronym,10,str
Sales_v_Attribute,Unit,11,str
Sales_v_Automotive_Program,PCN,1,int
Sales_v_Automotive_Program,Automotive_Program_Key,2,int
Sales_v_Automotive_Program,Name,3,str
Sales_v_Automotive_Program,Platform_Key,4,int
Sales_v_Automotive_Program,Design_Parent_Key,5,int
Sales_v_Bill_Code,PCN,1,int
Sales_v_Bill_Code,Bill_Code_Key,2,int
Sales_v_Bill_Code,Bill_Code,3,str
Sales_v_Bill_Code,Account_No,4,str
Sales_v_Bill_Code,CONV_Bill_Code_Key,5,int
Sales_v_Bill_Code,Sort_Order,6,int
Sales_v_Booking,PCN,1,int
Sales_v_Booking,Booking_Key,2,int
Sales_v_Booking,Booking_No,3,str
Sales_v_Booking,Freight_Forwarder_Supplier_No,4,int
Sales_v_Booking,Booking_Type_Key,5,int
Sales_v_Booking,Customer_No,6,int
Sales_v_Booking,Delivery_Port_Booking_Address_Key,7,int
Sales_v_Booking,Destination_Port_Booking_Address_Key,8,int
Sales_v_Booking,Loading_Port_Booking_Address_Key,9,int
