ModuleGroup,Module,Report,ReportKey,CustomerReportKey,AreaName,ControllerName,ActionName,CloudApplicationKey,CloudApplicationActionKey,Querystring,Description,Note
Accounting,Accounts Payable,Accounts Payable Aging,479,216495,VisionPlex,screen,Index,3076,7385,__actionKey=7385,,
Accounting,Accounts Payable,Accounts Payable By VAT Type,5132,,VisionPlex,screen,Index,7571,25252,__actionKey=25252,,
Accounting,Accounts Payable,Accounts Payable Check Overrun Detail,1532,,Accounting,ApCheck,ViewApCheckOverrun,167,11957,,,
Accounting,Accounts Payable,Accounts Payable Withholding VAT Tax Codes,5162,,VisionPlex,screen,Index,7610,25366,__actionKey=25366,,
Accounting,Accounts Payable,AP and AR Summary by Currency,2237,,VisionPlex,screen,Index,2581,6890,__actionKey=6890,,
Accounting,Accounts Payable,AP Invoice Account No PO Type Account No,1007,,VisionPlex,screen,Index,2301,6608,__actionKey=6608,,
Accounting,Accounts Payable,AP Invoice Period vs Date,1017,,VisionPlex,screen,Index,1650,5957,__actionKey=5957,,
Accounting,Accounts Payable,AP Invoice Web Service Instances Invoice Link,5114,,VisionPlex,screen,Index,4044,8357,__actionKey=8357,,
Accounting,Accounts Payable,AP Invoice With PO,1466,,VisionPlex,screen,Index,3127,7437,__actionKey=7437,,
Accounting,Accounts Payable,AP Invoices Cross PCN,484,,VisionPlex,screen,Index,5717,19565,__actionKey=19565,,
Accounting,Accounts Payable,AP Retroactive Invoices,1003,,VisionPlex,screen,Index,1783,6090,__actionKey=6090,,
Accounting,Accounts Payable,AP Value Added Taxes,1596,,VisionPlex,screen,Index,2922,7231,__actionKey=7231,,
Accounting,Accounts Payable,Capital Expenditures,2241,,VisionPlex,screen,Index,3424,7737,__actionKey=7737,,
Accounting,Accounts Payable,Cash Disbursements,592,,VisionPlex,screen,Index,2899,7208,__actionKey=7208,,
Accounting,Accounts Payable,Cash Requirements,1006,216864,VisionPlex,screen,Index,3057,7366,__actionKey=7366,,
Accounting,Accounts Payable,Enterprise Cash Requirements,5954,,VisionPlex,screen,Index,7870,27093,__actionKey=27093,,
Accounting,Accounts Payable,Invoice Currency Unrealized Gain Loss,642,,VisionPlex,screen,Index,1768,6075,__actionKey=6075,,
Accounting,Accounts Payable,Outstanding Accounts Payable Invoices,2242,,VisionPlex,screen,Index,1571,5877,__actionKey=5877,,
Accounting,Accounts Payable,Payment Register xPCN,687,,VisionPlex,screen,Index,2474,6782,__actionKey=6782,,
Accounting,Accounts Payable,Pre-Check Register,279,,Accounting,AccountsPayableReports,ViewAPInvoicesPrecheck,685,2699,,,
Accounting,Accounts Payable,Purchase Report,2323,,VisionPlex,screen,Index,3430,7743,__actionKey=7743,,
Accounting,Accounts Payable,Purchases By Reference Number,1002,,VisionPlex,screen,Index,3577,7890,__actionKey=7890,,
Accounting,Accounts Payable,Purchases Report,280,,Accounting,AccountsPayableReports,ViewReportPurchase,685,2700,,,
Accounting,Accounts Payable,Supplier 1099s,591,216865,VisionPlex,screen,Index,2303,6610,__actionKey=6610,,
Accounting,Accounts Payable,Supplier Banking,1499,,VisionPlex,screen,Index,3918,8231,__actionKey=8231,,
Accounting,Accounts Payable,Supplier Invoice Discrepancies,1009,,VisionPlex,screen,Index,2302,6609,__actionKey=6609,,
Accounting,Accounts Payable,Supplier Invoices Across Multiple Locations,1474,,VisionPlex,screen,Index,1797,6104,__actionKey=6104,,
Accounting,Accounts Payable,Supplier Payments,1358,,VisionPlex,screen,Index,3465,7778,__actionKey=7778,,
Accounting,Accounts Payable,Supplier Purchasing History,1571,,VisionPlex,screen,Index,1428,5733,__actionKey=5733,,
Accounting,Accounts Payable,Tax Code Amounts,1004,,VisionPlex,screen,Index,3016,7325,__actionKey=7325,,
Accounting,Accounts Payable,Uninvoiced Receipts,444,,VisionPlex,screen,Index,2828,7137,__actionKey=7137,,
Accounting,Accounts Payable,Value Added Tax Payable (AP),1477,,VisionPlex,screen,Index,3597,7910,__actionKey=7910,,
Accounting,Accounts Receivable,A/R Invoices xPCN,634,,VisionPlex,screen,Index,1838,6145,__actionKey=6145,,
Accounting,Accounts Receivable,Accounts Receivable Aging,480,216496,VisionPlex,screen,Index,3074,7383,__actionKey=7383,,
Accounting,Accounts Receivable,Accounts Receivable Aging by Building and Outside Sales,148,,Accounting,ArAgingReports,ViewArAgingByBuildingAndOutsideSales,1270,9855,,"Aging report of AR invoices grouped by building, outside salesperson, and customer",
Accounting,Accounts Receivable,Accounts Receivable Aging by Day and Balance,3,,Accounting,ArAgingReports,ViewReportArAgingByDayAndBalance,1270,9837,,Specialized aging report showing all receivables (customer invoices) filtered by days/balance outstanding.,
Accounting,Accounts Receivable,Accounts Receivable Aging by Salesperson,281,,Accounting,ArAgingReports,ArAgingBySalespersonView,1270,9499,,,
Accounting,Accounts Receivable,Accounts Receivable Aging Reports,2,,Accounting,ArAgingReports,Index,1270,4890,,Aging schedule for customer invoices.,
Accounting,Accounts Receivable,Accounts Receivable Applied Invoices,4,,Accounting,ArInvoiceReports,ReportARInvoicesApplied,1163,9525,,Show customer credit memos applied to outstanding invoices.,
Accounting,Accounts Receivable,Accounts Receivable By VAT Type,5205,,VisionPlex,screen,Index,7607,25354,__actionKey=25354,,
Accounting,Accounts Receivable,Accounts Receivable Cash Receipts by Payor,288,,Accounting,ARReceiptsReports,ViewCashReceiptsForPayor,1138,10271,,,
Accounting,Accounts Receivable,Accounts Receivable Check Details,287,,Accounting,ARReceiptsReports,ViewArCheckDetail,1138,10269,,,
Accounting,Accounts Receivable,Accounts Receivable Expanded Aging,108,216866,Accounting,ArAgingReports,ArAgingExpandedView,1270,9619,,,
Accounting,Accounts Receivable,Accounts Receivable Invoice Details,15025,,Accounting,_,ViewArInvoiceDetailsEUNReportAction,9859,37665,,,
Accounting,Accounts Receivable,Accounts Receivable Invoice Factura ATEB,424,,VisionPlex,screen,Index,2643,6952,__actionKey=6952,,
Accounting,Accounts Receivable,Accounts Receivable Invoice Numbers,1599,,Accounting,ArInvoiceReports,reportarinvoicelist,1163,4371,,,
Accounting,Accounts Receivable,Accounts Receivable Invoice Print History,5,,Accounting,ArInvoiceReports,ReportArInvoicesPrintHistory,1163,9535,,Show when and by whom a customer invoice has been printed.  Report allows resetting invoices for re-printing a batch.,
Accounting,Accounts Receivable,Accounts Receivable Invoices by Type,282,,Accounting,ArInvoiceReports,ArinvoicesByType,1163,3947,,,
Accounting,Accounts Receivable,Accounts Receivable Management,285,,Accounting,ArManagementReports,Index,1222,4201,,,
Accounting,Accounts Receivable,Accounts Receivable Percentage of Completion,71,,Accounting,ArInvoiceReports,ReportPercentageOfCompletion,1163,4239,,Customer Orders Percentage of Completion Report based on Budget estimates (ETC) and Actual Costs to Date.,
Accounting,Accounts Receivable,Accounts Receivable Receipts,286,,Accounting,ARReceiptsReports,Index,1138,3817,,,
Accounting,Accounts Receivable,Accounts Receivable Summary by Currency,386,,VisionPlex,screen,Index,2580,6889,__actionKey=6889,,
Accounting,Accounts Receivable,Accounts Receivable Summary by Part Product Type,283,,Accounting,ArInvoiceReports,ReportArInvoiceSummaryByPartProductType,1163,4394,,,
Accounting,Accounts Receivable,Accounts Receivable Transactions,284,,Accounting,ArManagementReports,ARTransactionsGridView,1222,9514,,,
Accounting,Accounts Receivable,Accounts Receivable Value Added Tax Payables,174,,Accounting,ArInvoiceReports,ArValueAddedTaxPayable,1163,9576,,Invoices paid showing conversion between base and foreign currency amounts for tax reporting.,
Accounting,Accounts Receivable,Accounts Receivable Value Added Taxes,399,,VisionPlex,screen,Index,2923,7232,__actionKey=7232,,
Accounting,Accounts Receivable,Accounts Receivable Withholding VAT Tax Codes,5206,,VisionPlex,screen,Index,7605,25351,__actionKey=25351,,
Accounting,Accounts Receivable,Accounts Receivables for Follow Up,243,,Accounting,ArInvoiceReports,ReportArForFollowup,1163,9574,,"Shows AR by customer over 60 days and a specified dollar amount, with column for disposition from credit communications",
Accounting,Accounts Receivable,AR Consolidated Aging By Detail,406,,VisionPlex,screen,Index,6430,21306,__actionKey=21306,,
Accounting,Accounts Receivable,AR Invoice Register Shipments,1069,,VisionPlex,screen,Index,1497,5802,__actionKey=5802,,
Accounting,Accounts Receivable,AR Invoice Web Service Instances Invoice Links,2234,,VisionPlex,screen,Index,3953,8266,__actionKey=8266,,
Accounting,Accounts Receivable,AR Invoices Aggregated by Location,2247,,VisionPlex,screen,Index,2851,7160,__actionKey=7160,,
Accounting,Accounts Receivable,AR Invoices by Locations,1605,,VisionPlex,screen,Index,2840,7149,__actionKey=7149,,
Accounting,Accounts Receivable,AR Invoices by PO Part Summarized,2246,,VisionPlex,screen,Index,3960,8273,__actionKey=8273,,
Accounting,Accounts Receivable,AR Invoices No Order,1606,,VisionPlex,screen,Index,2306,6613,__actionKey=6613,,
Accounting,Accounts Receivable,AR Invoices Outstanding,1391,,VisionPlex,screen,Index,1573,5879,__actionKey=5879,,
Accounting,Accounts Receivable,AR Invoices Summary,396,,Accounting,ReportArInvoiceSummary,Index,231,593,,,
Accounting,Accounts Receivable,AR Past Due,1280,,VisionPlex,screen,Index,7299,23922,__actionKey=23922,,
Accounting,Accounts Receivable,AR Retroactive Invoice Balances,1478,,VisionPlex,screen,Index,7084,23450,__actionKey=23450,,
Accounting,Accounts Receivable,AR Retroactive Original Invoice Detail,1584,,VisionPlex,screen,Index,1949,6256,__actionKey=6256,,
Accounting,Accounts Receivable,AR Retroactive Original Invoice Summary,1583,,VisionPlex,screen,Index,1948,6255,__actionKey=6255,,
Accounting,Accounts Receivable,AR Total Invoice Summary,884,,VisionPlex,screen,Index,2916,7225,__actionKey=7225,,
Accounting,Accounts Receivable,Billing Summary,1483,,VisionPlex,screen,Index,7104,23502,__actionKey=23502,,
Accounting,Accounts Receivable,Billing Summary with Unit Price,1560,,VisionPlex,screen,Index,2892,7201,__actionKey=7201,,
Accounting,Accounts Receivable,Billing Summary with Units,881,,VisionPlex,screen,Index,2304,6611,__actionKey=6611,,
Accounting,Accounts Receivable,Credit Memos,1557,,VisionPlex,screen,Index,3613,7926,__actionKey=7926,,
Accounting,Accounts Receivable,Credit Memos by Reason,1603,,VisionPlex,screen,Index,3695,8008,__actionKey=8008,,
Accounting,Accounts Receivable,Customer Invoice Aging Schedules,380,,Accounting,CustomerInvoiceScheduling,ArInvoicingScheduleAging,1181,9464,,,
Accounting,Accounts Receivable,Customer Invoice Scheduled Deposits,379,,Accounting,CustomerInvoiceScheduling,ArInvoicingScheduleDepositsView,1181,9460,,,
Accounting,Accounts Receivable,Customer Invoice Ship Date Mismatch,2248,,VisionPlex,screen,Index,2308,6615,__actionKey=6615,,
Accounting,Accounts Receivable,Customer Invoices Issued,1481,,VisionPlex,screen,Index,3232,7543,__actionKey=7543,,
Accounting,Accounts Receivable,Customer Invoices Needing Attention,1482,,VisionPlex,screen,Index,3602,7915,__actionKey=7915,,
Accounting,Accounts Receivable,Customer Revenue and Hours Analysis,2243,,VisionPlex,screen,Index,3428,7741,__actionKey=7741,,
Accounting,Accounts Receivable,Customer Revenue Breakdown Analysis ,994,,VisionPlex,screen,Index,3427,7740,__actionKey=7740,,
Accounting,Accounts Receivable,Customer Revenue by Part,289,,Accounting,ARRevenueReports,ReportCustomerbyPart,4238,9527,,,
Accounting,Accounts Receivable,Customer Revenue by Period,290,,Accounting,ARRevenueReports,ReportCustomerRevenuebyPeriodViewAction,4238,10020,,,
Accounting,Accounts Receivable,Customer Revenue by Product Type,291,,Accounting,ARRevenueReports,ReportCustomerRevenueByProductType,4238,10403,,,
Accounting,Accounts Receivable,Customer Sales and Profitability Analysis,1547,,VisionPlex,screen,Index,3721,8034,__actionKey=8034,,
Accounting,Accounts Receivable,Customer Statements,192,219425,Accounting,CustomerStatements,Index,1234,5138,,Standard report showing customers outstanding invoices in a presentable format.,
Accounting,Accounts Receivable,Customer Write-Offs,1191,,VisionPlex,screen,Index,3605,7918,__actionKey=7918,,
Accounting,Accounts Receivable,Customers Credit Detail Inquiry,1604,,VisionPlex,screen,Index,1472,5777,__actionKey=5777,,
Accounting,Accounts Receivable,Daily Sales History,292,,Accounting,ARRevenueReports,ReportDailySales,4238,10406,,,
Accounting,Accounts Receivable,Enterprise Cash Receipt Deposit Summaries,364,,VisionPlex,screen,Index,2015,6322,__actionKey=6322,,
Accounting,Accounts Receivable,Expected Receipts,1192,,Accounting,ArInvoiceReports,ArExpectedReceipts,1163,18987,,,
Accounting,Accounts Receivable,Invoice Journal History,398,,VisionPlex,screen,Index,3522,7835,__actionKey=7835,,
Accounting,Accounts Receivable,Invoices by Day and Account,1598,,Accounting,ArInvoiceReports,ReportArInvoicesByDayAndAccount,1163,3944,,,
Accounting,Accounts Receivable,Mexico SAT Payments Proof,5272,,VisionPlex,screen,Index,7692,25796,__actionKey=25796,,
Accounting,Accounts Receivable,Multi-Entity Accounts Receivable Credits,385,,VisionPlex,screen,Index,4029,8342,__actionKey=8342,,
Accounting,Accounts Receivable,Multi-Entity Cash Receipts Payor Detail,1585,,VisionPlex,screen,Index,7437,24340,__actionKey=24340,,
Accounting,Accounts Receivable,OneStream Extract,352,,VisionPlex,screen,Index,6360,20918,__actionKey=20918,,
Accounting,Accounts Receivable,Revenue and Returns,1317,,VisionPlex,screen,Index,1801,6108,__actionKey=6108,,
Accounting,Accounts Receivable,Revenue Breakdown Analysis,993,,VisionPlex,screen,Index,3431,7744,__actionKey=7744,,
Accounting,Accounts Receivable,Revenue by Customer Category,1563,,VisionPlex,screen,Index,1654,5961,__actionKey=5961,,
Accounting,Accounts Receivable,"Revenue by Period, State, Customer",1025,,VisionPlex,screen,Index,2817,7126,__actionKey=7126,,
Accounting,Accounts Receivable,"Revenue by Period, State, Customer, Invoice",927,,VisionPlex,screen,Index,2904,7213,__actionKey=7213,,
Accounting,Accounts Receivable,Revenue Geographics,594,,VisionPlex,screen,Index,3668,7981,__actionKey=7981,,
Accounting,Accounts Receivable,Sales By Customer and Part,1313,,VisionPlex,screen,Index,7250,23737,__actionKey=23737,,
Accounting,Accounts Receivable,Sales By Region Customer Part and Product Type,1384,,VisionPlex,screen,Index,3055,7364,__actionKey=7364,,
Accounting,Accounts Receivable,Sales Journal,363,,VisionPlex,screen,Index,3714,8027,__actionKey=8027,,
Accounting,Accounts Receivable,Sales Register,774,,VisionPlex,screen,Index,2897,7206,__actionKey=7206,,
Accounting,Accounts Receivable,Shipment Revenue by Customer and Account,1315,,VisionPlex,screen,Index,2458,6766,__actionKey=6766,,
Accounting,Accounts Receivable,Shipper Invoice Integrity,2232,,VisionPlex,screen,Index,2945,7254,__actionKey=7254,,
Accounting,Accounts Receivable,Shipper Invoices By Truck,1203,,Accounting,ArManagementReports,ViewShipperInvoicesByTruckGrid,1222,23916,,,
Accounting,Accounts Receivable,xPCN Cash Receipts - Payor Summary,1388,,VisionPlex,screen,Index,2016,6323,__actionKey=6323,,
Accounting,Accounts Receivable,Zero Amount AR Invoice Lines ,1550,,VisionPlex,screen,Index,2305,6612,__actionKey=6612,,
Accounting,Auto Tax Calculation,Item Taxes Popup,1497,,VisionPlex,screen,Index,2632,6941,__actionKey=6941,,
Accounting,Budgeting,Budget Plus Actual Report,8,,Accounting,FinancialBudgetReports,ViewBudgetView,4571,12254,,,
Accounting,Budgeting,Budget Report,21,,Accounting,FinancialBudgetReports,Index,4571,10930,,Show budget by account by period for a selected fiscal year,
Accounting,Credit Checking,Customer Credit Watch,310,,Accounting,CustomerCreditReports,Index,4676,12017,,,
Accounting,Financial Statements,Account Activities by Period and Job,431,,VisionPlex,screen,Index,1405,5710,__actionKey=5710,,
Accounting,Financial Statements,Accounting Job Period Summary,5719,,VisionPlex,screen,Index,1447,5752,__actionKey=5752,,
Accounting,Financial Statements,Budget Comparison Plus Actual Report,7,,Accounting,FinancialStatements,ViewBudgetCompare,1380,10459,,,
