DataSourceKey,DataSourceName,StoredProcedureName,DataSourceType,DatabaseName,ModuleGroup,ModuleName,InputCount,OutputCount,ReadRowLimit,GlobalAllow,SelfServiceable,Description,AddDate,UpdateDate
230486,Container_Label_Print (API),,API Plugin,,Inventory,Inventory Tracking,3,2,1000,true,1,,2019-01-24T18:50:11.93Z,2024-07-19T06:11:30.57Z
231084,Customer_Date_UTC_Get (API),,API Plugin,,Platform,Web Services,1,1,1000,true,1,,2019-05-20T15:45:20.06Z,
230487,Master_Unit_Label_Print (API),,API Plugin,,Inventory,Master Units,1,1,1000,true,1,,2019-01-24T18:50:11.94Z,
434,Account_Balances_by_Periods_Get (Accounting),Account_Balances_by_Periods_Get,Stored Procedure,Accounting,Accounting,General Ledger,16,18,15000,true,1,,2014-01-16T19:13:01.303Z,2018-09-18T15:06:53.757Z
48,Account_Get (Accounting),Account_Get,Stored Procedure,Accounting,Accounting,General Ledger,2,19,1000,true,1,,2014-02-01T05:00:00Z,2015-09-04T17:39:37.523Z
3187,Account_Nos_Get (Accounting),Account_Nos_Get,Stored Procedure,Accounting,Accounting,General Ledger,6,5,3000,true,1,,2014-06-11T15:41:02.06Z,2016-03-22T16:55:42.423Z
6834,Accounting_Job_Add_Update (Accounting),Accounting_Job_Add_Update,Stored Procedure,Accounting,Accounting,Project Accounting,41,4,1000,true,1,,2014-10-01T13:18:57.19Z,2021-04-14T18:52:22.26Z
19143,Accounting_Job_All_Fields_Get (Accounting),Accounting_Job_All_Fields_Get,Stored Procedure,Accounting,Accounting,Project Accounting,1,26,1000,true,1,,2015-09-04T17:43:12.1Z,
13825,Accounting_Job_AP_Manual_Invoices_Get (Accounting),Accounting_Job_AP_Manual_Invoices_Get,Stored Procedure,Accounting,Accounting,Project Accounting,1,12,1000,true,1,,2015-05-20T09:24:48.907Z,2015-09-04T18:00:28.747Z
13824,Accounting_Job_AP_Received_Get (Accounting),Accounting_Job_AP_Received_Get,Stored Procedure,Accounting,Accounting,Project Accounting,1,19,5000,true,1,,2015-05-20T09:10:18.65Z,2015-12-21T21:04:09.023Z
18268,Accounting_Job_Budget_Summary_Get (Accounting),Accounting_Job_Budget_Summary_Get,Stored Procedure,Accounting,Accounting,Project Accounting,2,6,1000,true,1,,2015-09-04T17:31:13.557Z,
20116,Accounting_Job_Cost_Type_Type_Budget_Report_Get (Accounting),Accounting_Job_Cost_Type_Type_Budget_Report_Get,Stored Procedure,Accounting,Accounting,Project Accounting,6,16,1000,true,1,,2015-09-04T18:03:24.01Z,2021-03-22T23:40:56.913Z
13996,Accounting_Job_Costs_Get (Accounting),Accounting_Job_Costs_Get,Stored Procedure,Accounting,Accounting,Project Accounting,9,14,1000,true,1,,2015-06-01T19:13:59.507Z,2015-09-04T18:06:20.957Z
3190,Accounting_Job_Get (Accounting),Accounting_Job_Get,Stored Procedure,Accounting,Accounting,Project Accounting,1,60,1000,true,1,,2014-06-13T15:54:02.523Z,2015-09-04T17:53:20.423Z
13828,Accounting_Job_GL_Journals_Get (Accounting),Accounting_Job_GL_Journals_Get,Stored Procedure,Accounting,Accounting,Project Accounting,1,9,1000,true,1,,2015-05-20T09:35:45.843Z,2015-09-04T18:00:29.2Z
14584,Accounting_Job_Key_Get (Accounting),Accounting_Job_Key_Get,Stored Procedure,Accounting,Accounting,Project Accounting,1,1,1000,true,1,,2015-07-31T11:53:37.347Z,
1016,Accounting_Job_Nos_Picker_Get (Accounting),Accounting_Job_Nos_Picker_Get,Stored Procedure,Accounting,Accounting,Project Accounting,3,9,1000,true,1,,2014-02-27T15:31:12.46Z,2015-09-04T16:44:19.687Z
2815,Accounting_Job_Picker_Get (Accounting),Accounting_Job_Picker_Get,Stored Procedure,Accounting,Accounting,Project Accounting,3,9,1000,true,1,,2014-05-23T12:35:52.46Z,2015-09-04T20:17:53.67Z
2014,Accounting_Job_Projects_Picker_Get (Accounting),Accounting_Job_Projects_Picker_Get,Stored Procedure,Accounting,Accounting,Project Accounting,2,3,1000,true,1,,2014-04-09T20:24:08.743Z,2015-09-04T16:45:10.033Z
6647,Accounting_Job_Type_Default_Get (Accounting),Accounting_Job_Type_Default_Get,Stored Procedure,Accounting,Accounting,Project Accounting,0,2,1000,true,1,,2014-09-25T10:33:12.597Z,2014-09-25T10:33:49.76Z
22374,Accounting_Jobs_Budget_Expense_Summary_Get (Accounting),Accounting_Jobs_Budget_Expense_Summary_Get,Stored Procedure,Accounting,Accounting,Project Accounting,11,15,1000,true,1,,2015-09-04T18:24:15.497Z,
533,Accounting_Jobs_Get (Accounting),Accounting_Jobs_Get,Stored Procedure,Accounting,Accounting,Project Accounting,22,25,1000,true,1,,2014-02-07T13:46:06.947Z,2024-03-20T18:27:55.5Z
240080,AP_Automation_Get (Accounting),AP_Automation_Get,Stored Procedure,Accounting,Accounting,Plex AP Automation,0,10,1000,true,0,,2026-07-28T09:03:22.61Z,2026-07-28T09:09:30.037Z
198,AP_Check_Run_Picker_Get (Accounting),AP_Check_Run_Picker_Get,Stored Procedure,Accounting,Accounting,Accounts Payable,0,8,1000,true,1,,2013-12-04T22:40:31.253Z,2023-02-24T10:23:57.69Z
685,AP_Check_Update (Accounting),AP_Check_Update,Stored Procedure,Accounting,Accounting,Accounts Payable,10,0,1000,true,1,,2014-02-17T18:29:20.86Z,2022-12-13T13:39:20.683Z
202,AP_Checks_Get (Accounting),AP_Checks_Get,Stored Procedure,Accounting,Accounting,Accounts Payable,30,61,5000,true,1,,2013-12-04T22:40:31.68Z,2020-06-05T15:29:51.937Z
19388,AP_Checks_Get_w_Invoice_w_Bank_Info (Accounting),AP_Checks_Get_w_Invoice_w_Bank_Info,Stored Procedure,Accounting,Accounting,Accounts Payable,21,63,1000,true,1,,2015-09-04T17:52:53.84Z,
19441,AP_Checks_Get_wo_Invoice_w_Bank_Info (Accounting),AP_Checks_Get_wo_Invoice_w_Bank_Info,Stored Procedure,Accounting,Accounting,Accounts Payable,20,45,1000,true,1,,2015-09-04T17:53:29.65Z,
21197,AP_Invoice_Dist_Add_Simple (Accounting),AP_Invoice_Dist_Add_Simple,Stored Procedure,Accounting,Accounting,Accounts Payable,6,3,1000,true,1,,2015-09-04T18:10:09.27Z,
1127,AP_Invoice_Dist_Get (Accounting),AP_Invoice_Dist_Get,Stored Procedure,Accounting,Accounting,Accounts Payable,2,44,1000,true,1,,2014-03-05T23:17:23.383Z,2022-03-30T21:15:34.673Z
1129,AP_Invoice_Get (Accounting),AP_Invoice_Get,Stored Procedure,Accounting,Accounting,Accounts Payable,1,78,1000,true,1,,2014-03-05T22:54:21.523Z,2020-01-21T21:45:43.48Z
19479,AP_Invoice_With_PO_Get (Accounting),AP_Invoice_With_PO_Get,Stored Procedure,Accounting,Accounting,Accounts Payable,36,33,1000,true,1,,2015-09-04T17:54:29.51Z,2024-09-18T06:00:24.31Z
21324,AP_Invoices_for_Created_Date_Get (Accounting),AP_Invoices_for_Created_Date_Get,Stored Procedure,Accounting,Accounting,Accounts Payable,8,34,5000,true,1,,2015-09-04T18:10:58.207Z,2017-07-12T17:54:37.56Z
226,AP_Invoices_Grid_Get (Accounting),AP_Invoices_Grid_Get,Stored Procedure,Accounting,Accounting,Accounts Payable,13,42,1000,true,1,,2013-12-05T14:01:12.69Z,2026-03-26T05:31:19.94Z
3000,AP_Invoices_Grid_Get_F5 (Accounting),AP_Invoices_Grid_Get_F5,Stored Procedure,Accounting,Accounting,Accounts Payable,13,49,10000,true,1,,2014-05-30T13:35:06.55Z,2026-04-08T12:03:20.24Z
465,AR_Check_Add (Accounting),AR_Check_Add,Stored Procedure,Accounting,Accounting,Accounts Receivable,0,1,1000,true,1,,2014-01-20T20:40:25.393Z,2024-10-29T11:17:09.907Z
19873,AR_Customer_Invoices_Get (Accounting),AR_Customer_Invoices_Get,Stored Procedure,Accounting,Accounting,Accounts Receivable,10,20,1000,true,1,,2015-09-04T17:59:08.233Z,2024-06-05T14:57:45.16Z
1098,AR_Invoice_Add_Simple (Accounting),AR_Invoice_Add_Simple,Stored Procedure,Accounting,Accounting,Accounts Receivable,6,1,1000,true,1,,2014-03-04T16:25:18.733Z,2024-12-10T14:02:05.953Z
21196,AR_Invoice_Dist_Add_Simple (Accounting),AR_Invoice_Dist_Add_Simple,Stored Procedure,Accounting,Accounting,Accounts Receivable,5,3,1000,true,1,,2015-09-04T18:10:09.16Z,2024-08-21T18:07:04.903Z
735,AR_Invoice_Dist_Get (Accounting),AR_Invoice_Dist_Get,Stored Procedure,Accounting,Accounting,Accounts Receivable,3,36,1000,true,1,,2014-02-19T16:59:15.66Z,2016-05-13T20:00:08.137Z
14742,AR_Invoice_Factura_ATEB_Get (Accounting),AR_Invoice_Factura_ATEB_Get,Stored Procedure,Accounting,Accounting,Accounts Receivable,8,96,10000,true,1,,2015-08-19T19:32:18.943Z,2019-08-09T09:14:58.92Z
313,AR_Invoice_Get (Accounting),AR_Invoice_Get,Stored Procedure,Accounting,Accounting,Accounts Receivable,3,101,1000,true,1,,2013-12-19T16:15:10.64Z,2026-01-22T06:48:39.847Z
23046,AR_Invoice_Lines_Restore (Accounting),AR_Invoice_Lines_Restore,Stored Procedure,Accounting,Accounting,Accounts Receivable,1,2,1000,true,1,,2015-09-04T18:33:12.12Z,2024-10-24T18:59:21.143Z
22022,AR_Invoice_Link_Get (Accounting),AR_Invoice_Link_Get,Stored Procedure,Accounting,Accounting,Accounts Receivable,1,2,1000,true,1,,2015-09-04T18:17:37.21Z,
15832,AR_Invoice_Print_01_Lines_Get (Accounting),AR_Invoice_Print_01_Lines_Get,Stored Procedure,Accounting,Accounting,Accounts Receivable,1,14,1000,true,1,,2015-09-04T16:44:09.457Z,
7450,AR_Invoice_Print_History_Get (Accounting),AR_Invoice_Print_History_Get,Stored Procedure,Accounting,Accounting,Accounts Receivable,1,7,1000,true,1,,2014-10-24T11:47:52.133Z,2015-09-04T18:10:01.85Z
23047,AR_Invoice_Status_Update (Accounting),AR_Invoice_Status_Update,Stored Procedure,Accounting,Accounting,Accounts Receivable,2,2,1000,true,1,,2015-09-04T18:33:12.203Z,
240,AR_Invoice_Statuses_Get (Accounting),AR_Invoice_Statuses_Get,Stored Procedure,Accounting,Accounting,Accounts Receivable,4,3,1000,true,1,,2013-12-05T14:05:53.06Z,2020-11-04T15:52:19.293Z
4801,AR_Invoice_Type_Remit_Tos_Get (Accounting),AR_Invoice_Type_Remit_Tos_Get,Stored Procedure,Accounting,Accounting,Accounts Receivable,2,4,1000,true,1,,2014-08-06T11:46:09.137Z,2015-09-04T17:29:01.743Z
1143,AR_Invoice_Update (Accounting),AR_Invoice_Update,Stored Procedure,Accounting,Accounting,Accounts Receivable,35,0,1000,true,1,,2014-03-05T18:42:10.61Z,2023-06-15T22:16:59.557Z
21287,AR_Invoices_for_Created_Date_Get (Accounting),AR_Invoices_for_Created_Date_Get,Stored Procedure,Accounting,Accounting,Accounts Receivable,7,48,5000,true,1,,2015-09-04T18:10:51.23Z,2024-04-17T09:59:51.66Z
21980,AR_Invoices_for_Created_Date_Summary_Get (Accounting),AR_Invoices_for_Created_Date_Summary_Get,Stored Procedure,Accounting,Accounting,Accounts Receivable,6,31,1000,true,1,,2015-09-04T18:17:22.803Z,
238,AR_Invoices_Get_Routed_All (Accounting),AR_Invoices_Get_Routed_All,Stored Procedure,Accounting,Accounting,Accounts Receivable,44,55,1000,true,1,,2013-12-05T14:05:51.66Z,2025-09-16T10:11:58.45Z
5144,AR_Invoices_Picker_Get (Accounting),AR_Invoices_Picker_Get,Stored Procedure,Accounting,Accounting,Accounts Receivable,5,9,1000,true,1,Note: This data source should not be used on a VisionPlex screen that is accessible by customer users.,2014-08-14T11:08:03.293Z,2019-12-19T17:34:59.793Z
22077,AR_Invoices_PO_Part_Summarized_Get (Accounting),AR_Invoices_PO_Part_Summarized_Get,Stored Procedure,Accounting,Accounting,Accounts Receivable,8,60,1000,true,1,,2015-09-04T18:17:50.503Z,2019-08-09T09:31:18Z
6327,AR_Invoices_Print_Format_31_Invoices_Get (Accounting),AR_Invoices_Print_Format_31_Invoices_Get,Stored Procedure,Accounting,Accounting,Accounts Receivable,2,72,1000,true,1,,2014-09-15T14:52:16.37Z,2021-04-07T13:02:39.057Z
6328,AR_Invoices_Print_Format_31_Lines_Get (Accounting),AR_Invoices_Print_Format_31_Lines_Get,Stored Procedure,Accounting,Accounting,Accounts Receivable,16,32,1000,true,1,,2014-09-15T14:56:00.56Z,2020-03-26T18:47:04.267Z
16426,AR_Invoices_Retroactive_and_Original_Summary_Get (Accounting),AR_Invoices_Retroactive_and_Original_Summary_Get,Stored Procedure,Accounting,Accounting,Accounts Receivable,10,17,1000,true,1,,2015-09-04T17:02:51.82Z,2016-10-20T17:23:45.307Z
