DataSourceKey,DataSourceName,StoredProcedureName,DataSourceType,DatabaseName,ModuleGroup,ModuleName,InputCount,OutputCount,ReadRowLimit,GlobalAllow,SelfServiceable,Description,AddDate,UpdateDate
230486,Container_Label_Print (API),,API Plugin,,Inventory,Inventory Tracking,3,2,1000,true,1,,2019-01-24T18:50:11.93Z,2024-07-19T06:11:30.57Z
231084,Customer_Date_UTC_Get (API),,API Plugin,,Platform,Web Services,1,1,1000,true,1,,2019-05-20T15:45:20.06Z,
230487,Master_Unit_Label_Print (API),,API Plugin,,Inventory,Master Units,1,1,1000,true,1,,2019-01-24T18:50:11.94Z,
17307,Account_Activity_Detail_xPCN_Get_Router (Accounting),Account_Activity_Detail_xPCN_Get_Router,Stored Procedure,Accounting,Accounting,General Ledger,11,21,15000,false,0,,2015-09-04T17:15:48.193Z,2020-03-25T19:11:48.82Z
14510,Account_Activity_Link_Add (Accounting),Account_Activity_Link_Add,Stored Procedure,Accounting,Accounting,General Ledger,0,1,1000,false,0,,2015-07-24T10:24:44.703Z,2015-07-24T10:25:03.367Z
14514,Account_Activity_Link_AP_Check_Dist2_Add (Accounting),Account_Activity_Link_AP_Check_Dist2_Add,Stored Procedure,Accounting,Accounting,Accounts Payable,6,0,1000,false,0,,2015-07-24T10:28:07.147Z,
14513,Account_Activity_Link_AP_Invoice_Dist_Add (Accounting),Account_Activity_Link_AP_Invoice_Dist_Add,Stored Procedure,Accounting,Accounting,Accounts Payable,6,0,1000,false,0,,2015-07-24T10:27:22.907Z,
14512,Account_Activity_Link_AR_Deposit_Dist_Add (Accounting),Account_Activity_Link_AR_Deposit_Dist_Add,Stored Procedure,Accounting,Accounting,Accounts Receivable,6,0,1000,false,0,,2015-07-24T10:26:27.293Z,
14511,Account_Activity_Link_AR_Invoice_Dist_Add (Accounting),Account_Activity_Link_AR_Invoice_Dist_Add,Stored Procedure,Accounting,Accounting,Accounts Receivable,6,0,1000,false,0,,2015-07-24T10:25:34.16Z,
21506,Account_Activity_Link_Delete (Accounting),Account_Activity_Link_Delete,Stored Procedure,Accounting,Accounting,General Ledger,1,0,1000,false,0,,2015-09-04T18:11:30.153Z,
19543,Account_Activity_Link_Get (Accounting),Account_Activity_Link_Get,Stored Procedure,Accounting,Accounting,General Ledger,2,21,1000,false,0,,2015-09-04T17:56:10.183Z,
14515,Account_Activity_Link_GL_Journal_Dist_Add (Accounting),Account_Activity_Link_GL_Journal_Dist_Add,Stored Procedure,Accounting,Accounting,General Ledger,6,0,1000,false,0,,2015-07-24T10:28:25.453Z,
19545,Account_Activity_Link_Void (Accounting),Account_Activity_Link_Void,Stored Procedure,Accounting,Accounting,General Ledger,1,0,1000,false,0,,2015-09-04T17:56:11.207Z,
19544,Account_Activity_Links_By_Dist_Get (Accounting),Account_Activity_Links_By_Dist_Get,Stored Procedure,Accounting,Accounting,General Ledger,4,21,1000,false,0,,2015-09-04T17:56:10.73Z,
19542,Account_Activity_Links_Get (Accounting),Account_Activity_Links_Get,Stored Procedure,Accounting,Accounting,General Ledger,4,11,1000,false,0,,2015-09-04T17:56:09.93Z,
19040,Account_Activity_Summary_by_Base_and_Cost_Center_Get (Accounting),Account_Activity_Summary_by_Base_and_Cost_Center_Get,Stored Procedure,Accounting,Accounting,General Ledger,5,11,1000,false,0,,2015-09-04T17:40:44.19Z,
28914,Account_Activity_Summary_By_Period_Get (Accounting),Account_Activity_Summary_By_Period_Get,Stored Procedure,Accounting,Accounting,General Ledger,1,19,10000,false,0,,2017-04-28T15:36:25.323Z,2017-06-12T16:26:23.733Z
19235,Account_Activity_Summary_Planning_Export_Get (Accounting),Account_Activity_Summary_Planning_Export_Get,Stored Procedure,Accounting,Accounting,General Ledger,1,4,1000,false,0,,2015-09-04T17:43:54.08Z,
16525,Account_Activity_Summary_xPCN_Get (Accounting),Account_Activity_Summary_xPCN_Get,Stored Procedure,Accounting,Accounting,General Ledger,13,12,10000,false,0,,2015-09-04T17:05:23.83Z,2016-03-22T16:54:51.873Z
14509,Account_Activity_Work_List_Get (Accounting),Account_Activity_Work_List_Get,Stored Procedure,Accounting,Accounting,General Ledger,5,13,1000,false,0,,2015-07-24T10:15:25.427Z,2015-07-24T10:24:04.74Z
16254,Account_Balance_by_Customer_Detail_Get (Accounting),Account_Balance_by_Customer_Detail_Get,Stored Procedure,Accounting,Accounting,General Ledger,4,10,1000,false,0,,2015-09-04T16:53:03.71Z,2015-09-04T16:56:51.393Z
16253,Account_Balance_by_Customer_Get (Accounting),Account_Balance_by_Customer_Get,Stored Procedure,Accounting,Accounting,General Ledger,3,6,1000,false,0,,2015-09-04T16:53:03.537Z,2016-11-09T16:02:34.36Z
547,Account_Balance_Detail_AP_Checks_Get (Accounting),Account_Balance_Detail_AP_Checks_Get,Stored Procedure,Accounting,Accounting,Accounts Payable,2,9,1000,false,0,,2014-02-07T00:48:55.137Z,2015-09-04T17:39:40.397Z
192,Account_Balances (Accounting),Account_Balances,Stored Procedure,Accounting,Accounting,General Ledger,18,13,1000,false,0,,2013-12-04T22:24:49.523Z,2018-09-18T15:06:53.757Z
434,Account_Balances_by_Periods_Get (Accounting),Account_Balances_by_Periods_Get,Stored Procedure,Accounting,Accounting,General Ledger,16,18,15000,true,1,,2014-01-16T19:13:01.303Z,2018-09-18T15:06:53.757Z
15069,Account_Balances_Rendering_Engine (Accounting),Account_Balances_Rendering_Engine,Stored Procedure,Accounting,Accounting,General Ledger,9,7,1000,false,0,,2015-09-04T16:22:21.613Z,2015-09-04T20:17:54.84Z
21263,Account_Category_Upload_Validate (Accounting),Account_Category_Upload_Validate,Stored Procedure,Accounting,Accounting,General Ledger,3,4,1000,false,0,,2015-09-04T18:10:45.407Z,
21262,Account_Category_VP_Upload (Accounting),Account_Category_VP_Upload,Stored Procedure,Accounting,Accounting,General Ledger,3,0,1000,false,0,,2015-09-04T18:10:45.35Z,
183,Account_from_Key_Get (Accounting),Account_from_Key_Get,Stored Procedure,Accounting,Accounting,General Ledger,1,23,1000,false,0,,2013-12-04T22:20:58.49Z,2018-09-18T15:06:53.757Z
48,Account_Get (Accounting),Account_Get,Stored Procedure,Accounting,Accounting,General Ledger,2,19,1000,true,1,,2014-02-01T05:00:00Z,2015-09-04T17:39:37.523Z
20727,Account_Link_Add (Accounting),Account_Link_Add,Stored Procedure,Accounting,Accounting,General Ledger,4,1,1000,false,0,,2015-09-04T18:08:16.697Z,2016-06-15T11:30:42.593Z
20728,Account_Link_Delete (Accounting),Account_Link_Delete,Stored Procedure,Accounting,Accounting,General Ledger,1,0,1000,false,0,,2015-09-04T18:08:16.79Z,
20722,Account_Link_Get (Accounting),Account_Link_Get,Stored Procedure,Accounting,Accounting,General Ledger,1,6,1000,false,0,,2015-09-04T18:08:16.15Z,
20726,Account_Link_Update (Accounting),Account_Link_Update,Stored Procedure,Accounting,Accounting,General Ledger,5,1,1000,false,0,,2015-09-04T18:08:16.59Z,2016-06-15T11:31:04.563Z
20721,Account_Links_Get (Accounting),Account_Links_Get,Stored Procedure,Accounting,Accounting,General Ledger,1,8,1000,false,0,,2015-09-04T18:08:15.92Z,
21812,Account_Matrix_Dimension_Definition_Add (Accounting),Account_Matrix_Dimension_Definition_Add,Stored Procedure,Accounting,Accounting,General Ledger,5,0,1000,false,0,,2015-09-04T18:16:52.32Z,
21814,Account_Matrix_Dimension_Definition_Delete (Accounting),Account_Matrix_Dimension_Definition_Delete,Stored Procedure,Accounting,Accounting,General Ledger,1,0,1000,false,0,,2015-09-04T18:16:52.4Z,
3177,Account_Matrix_Dimension_Definition_Get (Accounting),Account_Matrix_Dimension_Definition_Get,Stored Procedure,Accounting,Accounting,General Ledger,2,9,1000,false,0,,2014-06-12T20:15:17.197Z,2016-10-30T16:30:03.433Z
21813,Account_Matrix_Dimension_Definition_Update (Accounting),Account_Matrix_Dimension_Definition_Update,Stored Procedure,Accounting,Accounting,General Ledger,6,0,1000,false,0,,2015-09-04T18:16:52.357Z,
21836,Account_Matrix_Dimension_Definitions_Delete (Accounting),Account_Matrix_Dimension_Definitions_Delete,Stored Procedure,Accounting,Accounting,General Ledger,1,0,1000,false,0,,2015-09-04T18:16:56.497Z,
21811,Account_Matrix_Dimension_Definitions_Get (Accounting),Account_Matrix_Dimension_Definitions_Get,Stored Procedure,Accounting,Accounting,General Ledger,2,6,1000,false,0,,2015-09-04T18:16:52.093Z,
24142,Account_Matrix_Dimension_Definitions_Router (Accounting),Account_Matrix_Dimension_Definitions_Router,Stored Procedure,Accounting,Accounting,General Ledger,7,0,1000,false,0,,2015-11-04T21:02:44.91Z,2015-11-23T17:38:43.617Z
21802,Account_Matrix_Type_Definition_Add (Accounting),Account_Matrix_Type_Definition_Add,Stored Procedure,Accounting,Accounting,General Ledger,2,0,1000,false,0,,2015-09-04T18:16:49.833Z,
21804,Account_Matrix_Type_Definition_Delete (Accounting),Account_Matrix_Type_Definition_Delete,Stored Procedure,Accounting,Accounting,General Ledger,1,0,1000,false,0,,2015-09-04T18:16:50.123Z,
8614,Account_Matrix_Type_Definition_Get (Accounting),Account_Matrix_Type_Definition_Get,Stored Procedure,Accounting,Accounting,General Ledger,1,6,1000,false,0,,2014-12-08T16:09:40.09Z,2015-11-02T16:33:46.127Z
21803,Account_Matrix_Type_Definition_Update (Accounting),Account_Matrix_Type_Definition_Update,Stored Procedure,Accounting,Accounting,General Ledger,4,0,1000,false,0,,2015-09-04T18:16:50.067Z,
3186,Account_Matrix_Type_Definitions_Get (Accounting),Account_Matrix_Type_Definitions_Get,Stored Procedure,Accounting,Accounting,General Ledger,1,4,1000,false,0,,2014-06-11T16:51:24.47Z,2015-11-02T18:19:25.577Z
21790,Account_Matrix_Types_Get (Accounting),Account_Matrix_Types_Get,Stored Procedure,Accounting,Accounting,General Ledger,1,2,1000,false,0,,2015-09-04T18:16:48.28Z,
389,Account_No_Add (Accounting),Account_No_Add,Stored Procedure,Accounting,Accounting,General Ledger,20,3,1000,false,0,,2014-01-14T15:11:47.67Z,2023-06-13T22:09:06.977Z
20265,Account_No_Config_Validation_Get (Accounting),Account_No_Config_Validation_Get,Stored Procedure,Accounting,Accounting,General Ledger,4,5,1000,false,0,,2015-09-04T18:04:30.323Z,
18673,Account_No_Financial_Tree_Add (Accounting),Account_No_Financial_Tree_Add,Stored Procedure,Accounting,Accounting,General Ledger,4,1,1000,false,0,,2015-09-04T17:35:53.043Z,
21784,Account_No_From_Key_Get (Accounting),Account_No_From_Key_Get,Stored Procedure,Accounting,Accounting,General Ledger,1,1,1000,false,0,,2015-09-04T18:16:46.807Z,
22924,Account_No_Get (Accounting),Account_No_Get,Stored Procedure,Accounting,Accounting,General Ledger,1,1,1000,false,0,,2015-09-04T18:32:04.13Z,
397,Account_No_Update (Accounting),Account_No_Update,Stored Procedure,Accounting,Accounting,General Ledger,23,2,1000,false,0,,2014-01-14T21:02:39.367Z,2024-08-01T01:40:49.897Z
7642,Account_Nos_Count (Accounting),Account_Nos_Count,Stored Procedure,Accounting,Accounting,General Ledger,0,1,1000,false,0,,2014-11-03T09:38:02.09Z,2015-09-04T18:33:34.177Z
18647,Account_Nos_Create_Get (Accounting),Account_Nos_Create_Get,Stored Procedure,Accounting,Accounting,General Ledger,3,9,1000,false,0,,2015-09-04T17:35:49.283Z,2018-05-23T21:28:52.023Z
3187,Account_Nos_Get (Accounting),Account_Nos_Get,Stored Procedure,Accounting,Accounting,General Ledger,6,5,3000,true,1,,2014-06-11T15:41:02.06Z,2016-03-22T16:55:42.423Z
3188,Account_Nos_Picker_Get (Accounting),Account_Nos_Picker_Get,Stored Procedure,Accounting,Accounting,General Ledger,4,5,1000,false,0,,2014-06-11T16:48:03.097Z,2015-09-04T20:17:53.56Z
16526,Account_Nos_xPCN_Picker_Get (Accounting),Account_Nos_xPCN_Picker_Get,Stored Procedure,Accounting,Accounting,General Ledger,2,2,1000,false,0,,2015-09-04T17:05:24.143Z,
21307,Account_Part_Upload_Validate (Accounting),Account_Part_Upload_Validate,Stored Procedure,Accounting,Accounting,General Ledger,3,3,1000,false,0,,2015-09-04T18:10:55.11Z,2015-10-14T11:34:38.05Z
21306,Account_Part_VP_Upload (Accounting),Account_Part_VP_Upload,Stored Procedure,Accounting,Accounting,General Ledger,3,0,1000,false,0,,2015-09-04T18:10:55.057Z,2015-10-14T11:35:20.163Z
17358,Account_Revalued_Balance_Get (Accounting),Account_Revalued_Balance_Get,Stored Procedure,Accounting,Accounting,General Ledger,3,6,1000,false,0,,2015-09-04T17:19:02.47Z,2015-09-04T17:20:40.573Z
20055,Account_Revalued_Budget_Get (Accounting),Account_Revalued_Budget_Get,Stored Procedure,Accounting,Accounting,General Ledger,4,5,1000,false,0,,2015-09-04T18:02:29.003Z,
