ModuleGroup,Module,Report,ReportKey,CustomerReportKey,AreaName,ControllerName,ActionName,CloudApplicationKey,CloudApplicationActionKey,Querystring,Description,Note
Accounting,Accounts Payable,Accounts Payable Aging,479,216495,VisionPlex,screen,Index,3076,7385,__actionKey=7385,,
Accounting,Accounts Payable,Cash Requirements,1006,216864,VisionPlex,screen,Index,3057,7366,__actionKey=7366,,
Accounting,Accounts Payable,Supplier 1099s,591,216865,VisionPlex,screen,Index,2303,6610,__actionKey=6610,,
Accounting,Accounts Receivable,Accounts Receivable Aging,480,216496,VisionPlex,screen,Index,3074,7383,__actionKey=7383,,
Accounting,Accounts Receivable,Accounts Receivable Expanded Aging,108,216866,Accounting,ArAgingReports,ArAgingExpandedView,1270,9619,,,
Accounting,Accounts Receivable,Customer Statements,192,219425,Accounting,CustomerStatements,Index,1234,5138,,Standard report showing customers outstanding invoices in a presentable format.,
Accounting,Financial Statements,Cash Flow,249,216867,Accounting,FinancialStatements,ViewFinancialStatementsCashFlowStatementGrid,1380,5671,,Financial Statements Multi-level Cash Flow .net,
Accounting,Financial Statements,Financial Statements,245,219426,Accounting,FinancialStatements,ViewFinancialStatement,1380,9116,,Multi-level Financial Statements.,
Accounting,General Ledger,Account Activity Detail,302,216868,Accounting,GlJournalReports,Index,4629,11490,,,
Costing,Actual Costing,Container Cost Detail,447,295467,VisionPlex,screen,Index,3251,7563,__actionKey=7563,,
Costing,Actual Costing,Cost Tracking,457,273135,VisionPlex,screen,Index,151,6752,__actionKey=6752,,
Costing,Actual Costing,Gross Profits,482,295469,VisionPlex,screen,Index,3104,7413,__actionKey=7413,,
Costing,Actual Costing,Inventory Valuation Actual PiT Cost Type Summary,1347,295472,VisionPlex,screen,Index,3113,7423,__actionKey=7423,,
Costing,Actual Costing,Inventory Valuation PiT Container Account,5755,295473,VisionPlex,screen,Index,2847,7156,__actionKey=7156,,
Costing,Actual Costing,Job Cost Detail Report,202,295470,Costing,customactualcostreports,JobCostDetail,1202,9540,,,
Costing,Actual Costing,Job Cost Summary,1438,295468,VisionPlex,screen,Index,3010,7319,__actionKey=7319,,
Costing,Actual Costing,Job Cost Variance From Standard,5199,295465,VisionPlex,screen,Index,2622,6931,__actionKey=6931,,
Costing,Actual Costing,Job Cost Variance From Standard Summary,2249,295466,VisionPlex,screen,Index,3280,7592,__actionKey=7592,,
Costing,Actual Costing,Labor Productivity,2254,295471,VisionPlex,screen,Index,3607,7920,__actionKey=7920,,
Costing,Actual Costing,On Hand Inventory Valuation,5748,295474,VisionPlex,screen,Index,3615,7928,__actionKey=7928,,
Costing,Advanced Standard Costing,Cost Model Discrepancy,422,216869,VisionPlex,screen,Index,1575,5881,__actionKey=5881,,
Costing,Advanced Standard Costing,Gross Margin,309,216870,Costing,GrossMargin,Index,1107,3731,,,
Costing,Advanced Standard Costing,Gross Margin Forecast,308,216871,Costing,GrossMargin,GrossMarginForecastView,1107,5670,,,
Costing,Advanced Standard Costing,Purchase Price Variance (PPV),48,216872,Costing,StandardCostReports,Index,668,2599,,Part variance between purchased price and costing method price.,
Costing,Advanced Standard Costing,Rework Cost,5026,216873,VisionPlex,screen,Index,4028,8341,__actionKey=8341,,
Costing,Advanced Standard Costing,Standard Cost Activity History,458,216874,VisionPlex,screen,Index,3575,7888,__actionKey=7888,,
Costing,Advanced Standard Costing,Zero Cost Part Operations,5754,216875,VisionPlex,screen,Index,2395,6702,__actionKey=6702,,
Costing,Part Cost Structure,Cost Model BOM Discrepancies,470,216876,VisionPlex,screen,Index,2243,6550,__actionKey=6550,,
Costing,Part Cost Structure,Cost Model Comparison,478,216877,VisionPlex,screen,Index,6523,21766,__actionKey=21766,,
Costing,Part Cost Structure,Cost Rollup Queue,646,216878,VisionPlex,screen,Index,2244,6551,__actionKey=6551,,
Costing,Part Cost Structure,Cost Sub Type Breakdown Matrix,1005,216879,VisionPlex,screen,Index,2765,7074,__actionKey=7074,,
Costing,Part Cost Structure,Missing Cost Components,651,216880,VisionPlex,screen,Index,2240,6547,__actionKey=6547,,
Engineering,Bill of Materials,Part Material Where Used,369,216888,Engineering,PartMaterialWhereUsed,Index,6345,20815,,,
Engineering,Part List,Active and Unused Parts,795,216889,VisionPlex,screen,Index,3993,8306,__actionKey=8306,,
Engineering,Part List,Downstream Trace,1440,216890,VisionPlex,screen,Index,3058,7367,__actionKey=7367,,
Engineering,Process Routings,Parts with Invalid Operations,5718,216891,VisionPlex,screen,Index,2097,6404,__actionKey=6404,,
Human Resources,Time and Attendance Labor Tracking,Labor Records,717,216892,HumanResources,LaborReports,Index,4716,13059,,,
Inventory,Advanced Inventory Traceability-Product Genealogy,Actual Depletion Including Cells,1363,220980,VisionPlex,screen,Index,4085,8398,__actionKey=8398,,
Inventory,Advanced Inventory Traceability-Product Genealogy,Upstream Traceability,1364,216893,VisionPlex,screen,Index,4014,8327,__actionKey=8327,,
Inventory,Inventory Tracking,Depletion History,5209,216894,VisionPlex,screen,Index,3165,7476,__actionKey=7476,,
Inventory,Inventory Tracking,Exploded Bill of Materials Inventory,834,216895,VisionPlex,screen,Index,1909,6216,__actionKey=6216,,
Inventory,Inventory Tracking,Inventory Activity,902,216896,VisionPlex,screen,Index,3065,7374,__actionKey=7374,,
Inventory,Inventory Tracking,Inventory by Shelf Life,826,219514,VisionPlex,screen,Index,2986,7295,__actionKey=7295,,
Inventory,Inventory Tracking,Inventory Summary,938,216897,VisionPlex,screen,Index,2810,7119,__actionKey=7119,,
Inventory,Inventory Tracking,Inventory Transaction History,24,216899,Inventory,InventoryTransactionHistory,Index,4502,10495,,Inventory Transaction Report,
Inventory,Inventory Tracking,Inventory Transactions by Part,1326,216898,Inventory,InventoryTransactionsByPart,Index,4943,20076,,,
Inventory,Inventory Tracking,Inventory Variance,934,216900,VisionPlex,screen,Index,3072,7381,__actionKey=7381,,
Inventory,Inventory Tracking,Job Bill of Material Inventory Requirements,825,216901,VisionPlex,screen,Index,2007,6314,__actionKey=6314,,
Inventory,Inventory Tracking,Minimum Inventory Analysis,5080,216902,VisionPlex,screen,Index,3284,7596,__actionKey=7596,,
Inventory,Inventory Tracking,Production Yield,5919,216904,VisionPlex,screen,Index,3037,7346,__actionKey=7346,,
Inventory,Inventory Tracking,Slow Moving Stock,984,216903,Inventory,SlowMovingStock,Index,6676,22397,,,
Inventory,Inventory Tracking,Zero Quantity Containers,899,216905,VisionPlex,screen,Index,2376,6683,__actionKey=6683,,
Platform,Document Control System,Checked Out Documents,1518,216881,VisionPlex,screen,Index,7206,20823,__actionKey=20823,,
Platform,Document Control System,Document Last Approvals,490,216882,VisionPlex,screen,Index,2271,6578,__actionKey=6578,,
Platform,Document Control System,Documents Last Rejected,489,216883,VisionPlex,screen,Index,2274,6581,__actionKey=6581,,
Platform,Document Control System,Documents Pending Approval,487,216884,VisionPlex,screen,Index,6317,20613,__actionKey=20613,,
Platform,Document Control System,Documents Simple,1184,216885,VisionPlex,screen,Index,2272,6579,__actionKey=6579,,
Platform,Document Control System,Master Documents,1068,216886,VisionPlex,screen,Index,1434,5739,__actionKey=5739,,
Platform,Settings Manager,Customer Settings History,639,216887,VisionPlex,screen,Index,2333,6640,__actionKey=6640,,
Production Tracking,Job Tracker,Job Status Report,9,216906,ProductionTracking,JobTracker,JobStatusReport,687,2889,,List of Orders by month including job information.,
Production Tracking,Job Tracking System,Job Op Batches,2364,295451,VisionPlex,screen,Index,3962,8275,__actionKey=8275,,
Production Tracking,Job Tracking System,Job Production Efficiency,1231,216907,VisionPlex,screen,Index,2689,6998,__actionKey=6998,,
Production Tracking,Job Tracking System,Job Production Efficiency Summary,1046,216908,VisionPlex,screen,Index,3623,7936,__actionKey=7936,,
Production Tracking,Job Tracking System,Job Production Efficiency Summary,105,216909,ProductionTracking,JobProduction,ViewWorkcenterJobSummaryReport,1198,5225,,,
Production Tracking,Job Tracking System,Labor Hours by Department,1293,216910,VisionPlex,screen,Index,3829,8142,__actionKey=8142,,
